name,latitude,longitude
Kapelica v Spodnji Hajdini,46.408949,15.843142
Garden Palais Dornava,46.437502,15.948608
Nova Drzavna Ureditev (Mestni park),46.565918,15.646847
Glasbeni Pavilion (Mestni park),46.56411,15.649067
fontana mariborski Park (Mestni park),46.56802,15.648394
Fontana V Mestnem Parku (Mestni park),46.569758,15.647535
Aleja velikanov pred Univerzo (Slomškov trg),46.559126,15.64406
Statue of Anton Martin Slomsek (Slomškov trg),46.559003,15.644438
General Rudolf Maister (Trg generala Maistra),46.561699,15.648717
Anton Tomsic (Trg generala Maistra),46.561666,15.649722
Forma Viva (Trg Borisa Kidriča),46.562631,15.655842
Spomenik Borisa Kidrica (Trg Borisa Kidriča),46.561898,15.656583
Spomenik pri Pedagoski fakulteti (blizu ŠTUKa),46.563165,15.624205
